x;y;label
1;-0.306719888;b
2;-0.174547071;b
3;-0.420300252;b
4;-0.681760832;b
5;-0.942723914;b
6;-1.209407896;b
7;-1.473410856;b
8;-1.741509441;b
9;-2.006658296;b
10;-2.275033269;b
11;-2.540173494;b
12;-2.809111087;b
13;-3.073580996;b
14;-3.343491912;b
15;-3.60681785;b
16;-3.878115496;b
17;-4.139842461;b
18;-4.413003226;b
19;-4.672592408;b
20;-4.948224394;b
21;-5.204978173;b
22;-5.483888502;b
23;-5.736878251;b
24;-6.02015019;b
25;-6.268131368;b
26;-6.557222626;b
27;-6.798525664;b
28;-7.095399356;b
29;-7.274101689;b
30;-7.635087293;b
31;-7.718491331;b
32;-8.046148466;b
33;-8.155177103;b
34;-8.450138553;b
35;-8.58536317;b
36;-8.854759348;b
37;-9.009969811;b
38;-9.259875746;b
39;-9.426449054;b
40;-9.665360353;b
41;-9.840547529;b
42;-10.07110546;b
43;-10.25292541;b
44;-10.4769488;b
45;-10.66388076;b
46;-10.88308129;b
47;-11.07373186;b
48;-11.28932618;b
49;-11.48371843;b
50;-11.69507229;b
51;-11.89873771;b
52;-12.1085367;b
53;-12.29631079;b
54;-12.50019497;b
55;-12.70546231;b
56;-12.90573852;b
57;-13.07694929;b
58;-13.35253996;b
59;-13.42802653;b
60;-13.58023896;b
61;-13.81294123;b
62;-13.80122044;b
63;-13.81077287;b
64;-13.80944705;b
65;-14.06034194;b
66;-14.04878551;b
67;-13.79135783;b
68;-14.07700248;b
69;-14.20406014;b
70;-14.04158276;b
71;-13.90965239;b
72;-13.95198172;b
73;-13.901472;b
74;-14.36520918;b
75;-13.91012325;b
76;-14.21724495;b
77;-13.92569463;b
78;-13.99401275;b
79;-13.91775808;b
80;-14.22999458;b
81;-13.90491673;b
82;-13.92275161;b
83;-13.96374644;b
84;-14.03517899;b
85;-13.91775808;b
86;-13.88849496;b
87;-13.9597189;b
88;-13.90878596;b
89;-14.173741;b
90;-14.03046008;b
91;-13.90322717;b
92;-13.90011893;b
93;-13.91106638;b
94;-14.14051988;b
95;-13.90965239;b
96;-13.98064132;b
97;-13.92425383;b
98;-13.96852163;b
99;-14.03437988;b
100;-14.07206999;b
101;-13.91775808;b
102;-13.9247841;b
103;-13.99525511;b
104;-13.94782882;b
105;-13.97057863;b
106;-13.98658123;b
107;-13.89149539;b
108;-13.99519587;b
109;-13.92425383;b
110;-14.19102868;b
111;-14.20044277;b
112;-13.92643279;b
113;-13.92122878;b
114;-13.91059458;b
115;-13.96980135;b
116;-13.90706942;b
117;-13.901472;b
118;-14.34899612;b
119;-13.89927387;b
120;-13.91775808;b
121;-14.2403199;b
122;-13.88624831;b
123;-13.97553599;b
124;-14.03988762;b
125;-13.92122878;b
126;-13.80748346;b
127;-13.69753636;b
128;-14.0296412;b
129;-13.91873504;b
130;-13.9247841;b
131;-13.92375252;b
132;-14.08348071;b
133;-13.92592524;b
134;-13.92569463;b
135;-13.90965239;b
136;-14.25131436;b
137;-13.91775808;b
138;-14.03711728;b
139;-13.92719709;b
140;-13.89856784;b
141;-14.17620485;b
142;-14.19854372;b
143;-13.91775808;b
144;-13.98877302;b
145;-13.91106638;b
146;-13.90965239;b
147;-13.98982433;b
148;-14.11751241;b
149;-13.91775808;b
150;-13.92569463;b
151;-13.91727039;b
152;-13.98506854;b
153;-14.02666179;b
154;-13.80710173;b
155;-13.75903878;b
156;-13.89548635;b
157;-13.91775808;b
158;-14.24644508;b
159;-13.89548635;b
160;-14.25131436;b
161;-13.88995736;b
162;-13.91106638;b
163;-13.91564015;b
164;-13.98891756;b
165;-14.00680944;b
166;-13.91106638;b
167;-13.90817218;b
168;-13.91106638;b
169;-13.92147778;b
170;-13.91775808;b
171;-13.92453129;b
172;-13.91775808;b
173;-14.01458335;b
174;-13.91106638;b
175;-14.11526995;b
176;-13.88624831;b
177;-13.92569463;b
178;-14.18278853;b
179;-13.88073229;b
180;-13.91588282;b
181;-13.80710173;b
182;-14.0455881;b
183;-13.91727039;b
184;-14.14317203;b
185;-13.91775808;b
186;-13.96980135;b
187;-13.90706942;b
188;-13.91775808;b
189;-14.22416316;b
190;-14.03915115;b
191;-13.760624;b
192;-13.91727039;b
193;-13.92569463;b
194;-13.91588282;b
195;-13.91106638;b
196;-14.19102868;b
197;-13.92147778;b
198;-13.80672034;b
199;-13.89966872;b
200;-13.91775808;b
201;-13.97553599;b
202;-14.02666179;b
203;-13.92453129;b
204;-14.18054868;b
205;-14.01046798;b
206;-13.92569463;b
207;-13.91678322;b
208;-13.94557411;b
209;-13.91106638;b
210;-13.98906213;b
211;-13.81266224;b
212;-13.98632809;b
213;-14.01381319;b
214;-13.9822372;b
215;-13.99837536;b
216;-14.08747619;b
217;-14.01901946;b
218;-14.05142346;b
219;-13.91873504;b
220;-14.03747283;b
221;-13.99447092;b
222;-13.76296533;b
223;-13.901472;b
224;-13.75903878;b
225;-14.04158276;b
226;-13.91059458;b
227;-13.92147778;b
228;-13.91775808;b
229;-14.04158276;b
230;-14.25345908;b
231;-13.98535275;b
232;-13.91873504;b
233;-13.90965239;b
234;-13.88892257;b
235;-13.91012325;b
236;-13.91727039;b
237;-14.27753555;b
238;-13.91012325;b
239;-14.06732216;b
240;-13.95035023;b
241;-14.0232814;b
242;-13.86086973;b
243;-13.90127231;b
244;-13.91775808;b
245;-14.34388265;b
246;-13.89737603;b
247;-13.91775808;b
248;-14.24825452;b
249;-13.80748346;b
250;-13.98506854;b
