x;y;label
0.02;-15.09904297;b
0.03;-14.44225613;b
0.04;-14.51959775;b
0.05;-14.75213568;b
0.06;-14.29421559;b
0.07;-14.56137876;b
0.08;-13.9974435;b
0.09;-13.84468408;b
0.1;-14.23826828;b
0.11;-13.75554958;b
0.12;-13.95427004;b
0.13;-13.95999411;b
0.14;-13.95119619;b
0.15;-13.63042432;b
0.16;-14.43156605;b
0.17;-14.0801428;b
0.18;-13.67976836;b
0.19;-13.98560061;b
0.2;-13.93787664;b
0.21;-14.165395;b
0.22;-14.49151906;b
0.23;-13.56030489;b
0.24;-13.49938785;b
0.25;-13.9709551;b
0.26;-13.9153775;b
0.27;-13.68309739;b
0.28;-14.32044148;b
0.29;-14.29667171;b
0.3;-13.61065562;b
0.31;-13.64692023;b
0.32;-14.50732682;b
0.33;-15.05042889;b
0.34;-13.64179946;b
0.35;-13.87646076;b
0.36;-13.70144552;b
0.37;-14.01371917;b
0.38;-13.80455829;b
0.39;-13.01902767;b
0.4;-12.79852178;b
0.41;-12.44066803;b
0.42;-12.04301983;b
0.43;-11.65463879;b
0.44;-11.28511866;b
0.45;-10.93128636;b
0.46;-10.5831959;b
0.47;-10.24529317;b
0.48;-9.916826268;b
0.49;-9.596475593;b
0.5;-9.284779179;b
0.51;-8.980433793;b
0.52;-8.683121586;b
0.53;-8.391821638;b
0.54;-8.105795334;b
0.55;-7.824323519;b
0.56;-7.546597421;b
0.57;-7.271883223;b
0.58;-6.999487245;b
0.59;-6.728734599;b
0.6;-6.458970724;b
0.61;-6.189556428;b
0.62;-5.919851558;b
0.63;-5.649203202;b
0.64;-5.376926129;b
0.65;-5.102282759;b
0.66;-4.824457341;b
0.67;-4.542522065;b
0.68;-4.255392705;b
0.69;-3.961777362;b
0.7;-3.660032085;b
0.71;-3.348121369;b
0.72;-3.023329119;b
0.73;-2.681876119;b
0.74;-2.318313839;b
0.75;-1.92415388;b
0.76;-1.484951703;b
0.77;-0.972500311;b
0.78;-0.31733236;b
0.79;0.776191446;b
