x;y;label
0.02;-15.22681889;c
0.03;-14.43656357;c
0.04;-14.49368597;c
0.05;-13.86339559;c
0.06;-14.27945819;c
0.07;-14.60193171;c
0.08;-14.33600918;c
0.09;-13.84431878;c
0.1;-14.06790996;c
0.11;-14.41457402;c
0.12;-13.75757784;c
0.13;-14.42587464;c
0.14;-14.44131922;c
0.15;-14.29749019;c
0.16;-14.26315029;c
0.17;-14.22268338;c
0.18;-13.55448344;c
0.19;-14.7682778;c
0.2;-14.32731525;c
0.21;-14.11265098;c
0.22;-14.39868818;c
0.23;-14.20095983;c
0.24;-14.45205563;c
0.25;-13.97273659;c
0.26;-13.78388599;c
0.27;-13.36451257;c
0.28;-13.97157026;c
0.29;-13.58346505;c
0.3;-13.16056959;c
0.31;-12.80945777;c
0.32;-12.49675377;c
0.33;-12.10880264;c
0.34;-11.73592819;c
0.35;-11.37867837;c
0.36;-11.02988049;c
0.37;-10.68559248;c
0.38;-10.34659512;c
0.39;-10.01270908;c
0.4;-9.683954139;c
0.41;-9.360082159;c
0.42;-9.041169758;c
0.43;-8.727116359;c
0.44;-8.417903529;c
0.45;-8.11349389;c
0.46;-7.813848487;c
0.47;-7.51891917;c
0.48;-7.228647464;c
0.49;-6.942965236;c
0.5;-6.661795012;c
0.51;-6.385050466;c
0.52;-6.112637631;c
0.53;-5.844455939;c
0.54;-5.580399398;c
0.55;-5.320357594;c
0.56;-5.064216623;c
0.57;-4.811859859;c
0.58;-4.563168577;c
0.59;-4.318022417;c
0.6;-4.076299706;c
0.61;-3.837877636;c
0.62;-3.602632309;c
0.63;-3.370438649;c
0.64;-3.141170202;c
0.65;-2.914698806;c
0.66;-2.690894153;c
0.67;-2.469623225;c
0.68;-2.250749621;c
0.69;-2.034132745;c
0.7;-1.819626861;c
0.71;-1.607079992;c
0.72;-1.396332617;c
0.73;-1.187216125;c
0.74;-0.979550904;c
0.75;-0.773143901;c
0.76;-0.567785347;c
0.77;-0.36324414;c
0.78;-0.159261051;c
0.79;0.044461602;c
