p,q,err
0,0,2.28540976785868
0,0.02,2.18785349956047
0,0.04,2.09425247957974
0,0.06,2.00459643801092
0,0.08,1.91887514425376
0,0.1,1.83707840683612
0,0.12,1.75919607323772
0,0.14,1.68521802971266
0,0.16,1.61513420111328
0,0.18,1.54893455071977
0,0.2,1.48660908006151
0,0.22,1.42814782874898
0,0.24,1.37354087429993
0,0.26,1.32277833196788
0,0.28,1.27585035457584
0,0.3,1.23274713234388
0,0.32,1.19345889272381
0,0.34,1.15797590022807
0,0.36,1.12628845626837
0,0.38,1.09838689898721
0,0.4,1.07426160309559
0,0.42,1.05390297970588
0,0.44,1.03730147617251
0,0.46,1.02444757592876
0,0.48,1.01533179832658
0,0.5,1.0099446984732
0,0.52,1.00827686707483
0,0.54,1.01031893027819
0,0.56,1.01606154951081
0,0.58,1.02549542132656
0,0.6,1.03861127724523
0,0.62,1.05539988360248
0,0.64,1.07585204139246
0,0.66,1.0999585861155
0,0.68,1.12771038762121
0,0.7,1.15909834996271
0,0.72,1.19411341124128
0,0.74,1.23274654345662
0,0.76,1.27498875235626
0,0.78,1.32083107728857
0,0.8,1.37026459105385
0,0.82,1.42328039975531
0,0.84,1.47986964265493
0,0.86,1.54002349202492
0,0.88,1.60373315300579
0,0.9,1.67098986345778
0,0.92,1.74178489382167
0,0.94,1.81610954697148
0,0.96,1.89395515807709
0,0.98,1.97531309445699
0.02,0,2.28078837356919
0.02,0.02,2.18324787758514
0.02,0.04,2.08967246178384
0.02,0.06,2.00005189330712
0.02,0.08,1.91437597831143
0.02,0.1,1.83263456179884
0.02,0.12,1.75481752743754
0.02,0.14,1.68091479739028
0.02,0.16,1.61091633213633
0.02,0.18,1.54481213030784
0.02,0.2,1.48259222850831
0.02,0.22,1.42424670115044
0.02,0.24,1.36976566028028
0.02,0.26,1.31913925541284
0.02,0.28,1.2723576733612
0.02,0.3,1.22941113807258
0.02,0.32,1.19028991045951
0.02,0.34,1.15498428823421
0.02,0.36,1.1234846057468
0.02,0.38,1.09578123382091
0.02,0.4,1.0718645795901
0.02,0.42,1.05172508633562
0.02,0.44,1.03535323332755
0.02,0.46,1.02273953566214
0.02,0.48,1.0138745441059
0.02,0.5,1.00874884493184
0.02,0.52,1.0073530597667
0.02,0.54,1.00967784543282
0.02,0.56,1.01571389379067
0.02,0.58,1.0254519315855
0.02,0.6,1.03888272029017
0.02,0.62,1.05599705595608
0.02,0.64,1.07678576905449
0.02,0.66,1.10123972433125
0.02,0.68,1.12934982064733
0.02,0.7,1.16110699083759
0.02,0.72,1.19650220155369
0.02,0.74,1.23552645311933
0.02,0.76,1.27817077937884
0.02,0.78,1.32442624755446
0.02,0.8,1.37428395809419
0.02,0.82,1.42773504453001
0.02,0.84,1.48477067333186
0.02,0.86,1.54538204376137
0.02,0.88,1.6095603877311
0.02,0.9,1.67729696965881
0.02,0.92,1.74858308632847
0.02,0.94,1.82341006674525
0.02,0.96,1.90176927199784
0.02,0.98,1.9836520951155
0.04,0,2.27470008296246
0.04,0.02,2.17716575028554
0.04,0.04,2.08360635723551
0.04,0.06,1.99401170791407
0.04,0.08,1.90837164515389
0.04,0.1,1.82667605034551
0.04,0.12,1.74891484326424
0.04,0.14,1.67507798189706
0.04,0.16,1.60515546227007
0.04,0.18,1.53913731828293
0.04,0.2,1.47701362153404
0.04,0.22,1.41877448115555
0.04,0.24,1.36441004364335
0.04,0.26,1.31391049269065
0.04,0.28,1.2672660490243
0.04,0.3,1.22446697023602
0.04,0.32,1.18550355062225
0.04,0.34,1.15036612101488
0.04,0.36,1.11904504862542
0.04,0.38,1.09153073687881
0.04,0.4,1.06781362525483
0.04,0.42,1.04788418912537
0.04,0.44,1.03173293959921
0.04,0.46,1.01935042335968
0.04,0.48,1.01072722251069
0.04,0.5,1.0058539544163
0.04,0.52,1.00472127154721
0.04,0.54,1.0073198613255
0.04,0.56,1.01364044596987
0.04,0.58,1.0236737823431
0.04,0.6,1.0374106617952
0.04,0.62,1.05484191001779
0.04,0.64,1.07595838688881
0.04,0.66,1.10075098632367
