p,q,err
0.04,0.68,1.12921063612234
0.04,0.7,1.16132829782678
0.04,0.72,1.19709496656806
0.04,0.74,1.23650167091982
0.04,0.76,1.27953947275224
0.04,0.78,1.32619946708659
0.04,0.8,1.37647278194983
0.04,0.82,1.4303505782293
0.04,0.84,1.48782404953235
0.04,0.86,1.54888442203753
0.04,0.88,1.61352295436078
0.04,0.9,1.68173093740487
0.04,0.92,1.75349969422683
0.04,0.94,1.82882057989138
0.04,0.96,1.90768498133826
0.04,0.98,1.99008431723617
0.06,0,2.26713309814805
0.06,0.02,2.16959532244337
0.06,0.04,2.07604237327338
0.06,0.06,1.98646409161981
0.06,0.08,1.90085035690605
0.06,0.1,1.81919108682954
0.06,0.12,1.74147623718847
0.06,0.14,1.66769580171508
0.06,0.16,1.59783981190028
0.06,0.18,1.53189833683173
0.06,0.2,1.46986148301934
0.06,0.22,1.41171939423733
0.06,0.24,1.35746225135053
0.06,0.26,1.30708027215204
0.06,0.28,1.26056371120185
0.06,0.3,1.21790285966091
0.06,0.32,1.17908804512871
0.06,0.34,1.14410963148046
0.06,0.36,1.11295801870988
0.06,0.38,1.08562364276843
0.06,0.4,1.06209697540447
0.06,0.42,1.04236852400554
0.06,0.44,1.02642883143992
0.06,0.46,1.0142684759046
0.06,0.48,1.00587807076585
0.06,0.5,1.00124826440198
0.06,0.52,1.00036974005324
0.06,0.54,1.00323321566877
0.06,0.56,1.00982944374913
0.06,0.58,1.02014921120116
0.06,0.6,1.03418333917876
0.06,0.62,1.05192268294138
0.06,0.64,1.07335813169929
0.06,0.66,1.09848060846603
0.06,0.68,1.12728106990562
0.06,0.7,1.15975050619728
0.06,0.72,1.19587994087808
0.06,0.74,1.23566043070073
0.06,0.76,1.27908306548787
0.06,0.78,1.32613896799182
0.06,0.8,1.37681929374464
0.06,0.82,1.43111523091961
0.06,0.84,1.48901800018915
0.06,0.86,1.55051885458203
0.06,0.88,1.61560907934281
0.06,0.9,1.68427999179299
0.06,0.92,1.75652294119079
0.06,0.94,1.83232930859313
0.06,0.96,1.91169050671933
0.06,0.98,1.99459797981026
0.08,0,2.25807569819251
0.08,0.02,2.16052487561351
0.08,0.04,2.06696879383054
0.08,0.06,1.97739733062098
0.08,0.08,1.89180040191845
0.08,0.1,1.8101679616459
0.08,0.12,1.73249000154568
0.08,0.14,1.65875655101127
0.08,0.16,1.58895767691868
0.08,0.18,1.5230834834639
0.08,0.2,1.4611241119925
0.08,0.22,1.40306974083747
0.08,0.24,1.34891058515621
0.08,0.26,1.29863689676357
0.08,0.28,1.25223896397486
0.08,0.3,1.20970711144058
0.08,0.32,1.17103169998885
0.08,0.34,1.1362031264606
0.08,0.36,1.10521182355667
0.08,0.38,1.0780482596763
0.08,0.4,1.05470293876254
0.08,0.42,1.03516640014045
0.08,0.44,1.01942921836812
0.08,0.46,1.00748200307694
0.08,0.48,0.999315398822464
0.08,0.5,0.994920084923071
0.08,0.52,0.994286775315179
0.08,0.54,0.997406218399644
0.08,0.56,1.00426919688869
0.08,0.58,1.01486652765752
0.08,0.6,1.02918906159317
0.08,0.62,1.04722768344902
0.08,0.64,1.0689733116955
0.08,0.66,1.09441689837097
0.08,0.68,1.12354942893691
0.08,0.7,1.15636192213431
0.08,0.72,1.19284542983505
0.08,0.74,1.23299103690141
0.08,0.76,1.27678986103828
0.08,0.78,1.32423305265625
0.08,0.8,1.37531179472423
0.08,0.82,1.43001730263141
0.08,0.84,1.48834082404552
0.08,0.86,1.55027363877366
0.08,0.88,1.61580705862348
0.08,0.9,1.68493242726246
0.08,0.92,1.75764112008412
0.08,0.94,1.83392454406728
0.08,0.96,1.91377413764263
0.08,0.98,1.99718137055452
0.1,0,2.2475162391259
0.1,0.02,2.14994276812951
0.1,0.04,2.05637397943289
0.1,0.06,1.9667997875262
0.1,0.08,1.88121014477302
0.1,0.1,1.7995950412407
0.1,0.12,1.72194450453674
0.1,0.14,1.64824859963685
0.1,0.16,1.57849742872267
0.1,0.18,1.51268113102075
0.1,0.2,1.45078988263138
0.1,0.22,1.39281389637241
0.1,0.24,1.33874342161237
0.1,0.26,1.28856874411284
0.1,0.28,1.24228018586727
0.1,0.3,1.19986810494013
0.1,0.32,1.16132289531039
0.1,0.34,1.12663498670974
0.1,0.36,1.09579484446991
0.1,0.38,1.0687929693655
0.1,0.4,1.04561989745593
0.1,0.42,1.02626619993338
0.1,0.44,1.01072248296759
0.1,0.46,0.998979387553664
0.1,0.48,0.99102758936026
0.1,0.5,0.986857798574421
0.1,0.52,0.986460759755756
0.1,0.54,0.989827251683788
0.1,0.56,0.996948087208704
0.1,0.58,1.00781411310431
0.1,0.6,1.02241620991791
0.1,0.62,1.04074529182624
0.1,0.64,1.06279230648645
0.1,0.66,1.08854823489376
0.1,0.68,1.11800409123273
0.1,0.7,1.15115092273784
0.1,0.72,1.18797980954553
0.1,0.74,1.22848186455624
0.1,0.76,1.27264823328866
0.1,0.78,1.32047009374203
0.1,0.8,1.37193865625231
0.1,0.82,1.42704516335413
0.1,0.84,1.48578088964424
0.1,0.86,1.54813714163812
0.1,0.88,1.61410525763703
0.1,0.9,1.68367660758787
0.1,0.92,1.75684259295067
0.1,0.94,1.83359464655753
0.1,0.96,1.91392423248385
0.1,0.98,1.99782284590945
0.12,0,2.23544315395419
0.12,0.02,2.13783743511841
0.12,0.04,2.04424636721374
0.12,0.06,1.95465990136698
0.12,0.08,1.86906802629126
0.12,0.1,1.78746076811911
0.12,0.12,1.70982819024267
0.12,0.14,1.63616039314326
0.12,0.16,1.56644751423104
0.12,0.18,1.50067972768196
0.12,0.2,1.43884724427784
0.12,0.22,1.38094031124055
0.12,0.24,1.32694921207809
0.12,0.26,1.27686426641827
0.12,0.28,1.23067582985955
0.12,0.3,1.18837429380317
0.12,0.32,1.14995008530563
0.12,0.34,1.1153936669129
0.12,0.36,1.08469553651579
0.12,0.38,1.05784622718623
0.12,0.4,1.03483630703017
0.12,0.42,1.01565637903035
0.12,0.44,1.00029708089723
0.12,0.46,0.988749084914995
0.12,0.48,0.981003097794612
0.12,0.5,0.977049860518584
0.12,0.52,0.976880148197342
0.12,0.54,0.980484769917321
0.12,0.56,0.987854568597056
0.12,0.58,0.998980420835916
0.12,0.6,1.0138532367711
0.12,0.62,1.0324639599298
0.12,0.64,1.05480356709076
0.12,0.66,1.08086306813159
0.12,0.68,1.11063350589176
0.12,0.7,1.1441059560273
0.12,0.72,1.18127152687386
0.12,0.74,1.2221213592982
0.12,0.76,1.26664662656419
0.12,0.78,1.31483853419019
0.12,0.8,1.36668831981191
0.12,0.82,1.42218725304166
0.12,0.84,1.48132663533484
0.12,0.86,1.54409779984872
0.12,0.88,1.61049211131229
0.12,0.9,1.68050096588129
0.12,0.92,1.75411579101611
0.12,0.94,1.83132804533481
0.12,0.96,1.91212921849227
0.12,0.98,1.9965108310338
0.14,0,2.22184495266705
0.14,0.02,2.12419738850228
0.14,0.04,2.03057447092168
0.14,0.06,1.94096618760767
0.14,0.08,1.85536256354391
0.14,0.1,1.77375366085181
0.14,0.12,1.69612957862913
0.14,0.14,1.62248045278635
0.14,0.16,1.55279645588305
0.14,0.18,1.48706779697334
0.14,0.2,1.4252847214373
0.14,0.22,1.3674375108312
0.14,0.24,1.31351648272177
0.14,0.26,1.26351199053369
0.14,0.28,1.21741442338948
0.14,0.3,1.17521420595761
0.14,0.32,1.1369017982958
0.14,0.34,1.10246769569234
0.14,0.36,1.07190242851969
0.14,0.38,1.04519656207838
0.14,0.4,1.02234069644683
0.14,0.42,1.00332546632489
0.14,0.44,0.98814154089067
0.14,0.46,0.976779623648191
0.14,0.48,0.969230452276866
0.14,0.5,0.965484798485572
0.14,0.52,0.96553346786134
0.14,0.54,0.969367299730753
0.14,0.56,0.976977167006172
0.14,0.58,0.98835397604491
0.14,0.6,1.00348866650141
0.14,0.62,1.02237221118843
0.14,0.64,1.04499561593108
0.14,0.66,1.07134991942402
0.14,0.68,1.10142619308997
0.14,0.7,1.13521554094177
0.14,0.72,1.17270909944075
0.14,0.74,1.21389803735429
0.14,0.76,1.25877355562255
0.14,0.78,1.30732688721679
0.14,0.8,1.35954929700219
0.14,0.82,1.41543208160337
0.14,0.84,1.4749665692654
0.14,0.86,1.53814411972294
0.14,0.88,1.60495612406129
0.14,0.9,1.67539400458329
0.14,0.92,1.74944921467967
0.14,0.94,1.82711323869071
0.14,0.96,1.90837759178148
0.14,0.98,1.99323381980145
0.16,0,2.20671022225417
0.16,0.02,2.10901121702172
0.16,0.04,2.01534688093701
0.16,0.06,1.92570723815936
0.16,0.08,1.84008234986691
0.16,0.1,1.75846231409203
0.16,0.12,1.68083726556281
0.16,0.14,1.60719737554134
0.16,0.16,1.53753285166205
0.16,0.18,1.47183393777909
0.16,0.2,1.4100909137992
0.16,0.22,1.35229409553473
0.16,0.24,1.29843383454115
0.16,0.26,1.2485005179593
0.16,0.28,1.20248456837041
0.16,0.3,1.16037644363016
0.16,0.32,1.12216663672659
0.16,0.34,1.08784567561708
0.16,0.36,1.05740412308468
0.16,0.38,1.03083257658593
0.16,0.4,1.00812166809671
0.16,0.42,0.989262063967391
0.16,0.44,0.974244464770668
0.16,0.46,0.963059605157672
0.16,0.48,0.955698253708687
0.16,0.5,0.952151212783647
0.16,0.52,0.952409318382749
0.16,0.54,0.956463439997062
0.16,0.56,0.964304480465315
0.16,0.58,0.975923375833976
0.16,0.6,0.991311095206405
0.16,0.62,1.01045864060903
0.16,0.64,1.03335704684684
0.16,0.66,1.05999738136279
0.16,0.68,1.09037074409558
0.16,0.7,1.12446826734465
0.16,0.72,1.16228111563115
0.16,0.74,1.20380048555556
0.16,0.76,1.2490176056666
0.16,0.78,1.29792373632051
0.16,0.8,1.35051016954726
0.16,0.82,1.40676822891405
0.16,0.84,1.46668926939315
0.16,0.86,1.53026467722635
0.16,0.88,1.59748586979137
0.16,0.9,1.66834429547184
0.16,0.92,1.74283143352355
0.16,0.94,1.82093879394258
0.16,0.96,1.90265791733928
0.16,0.98,1.98798037480118
0.18,0,2.19002762671877
0.18,0.02,2.0922675862444
0.18,0.04,1.9985522642813
0.18,0.06,1.90887172139289
0.18,0.08,1.82321605487284
0.18,0.1,1.74157539858857
0.18,0.12,1.66393992282381
0.18,0.14,1.59029983411664
0.18,0.16,1.52064537510112
0.18,0.18,1.45496682435653
0.18,0.2,1.3932544962444
0.18,0.22,1.335498740759
0.18,0.24,1.28168994336758
0.18,0.26,1.23181852485939
0.18,0.28,1.18587494119634
0.18,0.3,1.14384968335376
0.18,0.32,1.10573327717441
0.18,0.34,1.07151628321477
0.18,0.36,1.04118929659744
0.18,0.38,1.01474294686109
0.18,0.4,0.992167897812257
0.18,0.42,0.973454847377237
0.18,0.44,0.958594527455201
0.18,0.46,0.947577703774839
0.18,0.48,0.940395175744893
0.18,0.5,0.93703777631089
0.18,0.52,0.9374963718125
0.18,0.54,0.941761861839452
0.18,0.56,0.949825179088598
0.18,0.58,0.961677289223947
0.18,0.6,0.977309190730961
0.18,0.62,0.996711914783976
0.18,0.64,1.01987652509834
0.18,0.66,1.0467941177964
0.18,0.68,1.07745582126693
0.18,0.7,1.11185279603032
0.18,0.72,1.14997623459788
0.18,0.74,1.19181736133891
0.18,0.76,1.23736743234325
0.18,0.78,1.28661773528555
0.18,0.8,1.33955958929448
0.18,0.82,1.3961843448149
0.18,0.84,1.45648338348019
0.18,0.86,1.52044811797331
0.18,0.88,1.58806999190149
0.18,0.9,1.65934047966037
0.18,0.92,1.73425108630815
0.18,0.94,1.81279334743153
0.18,0.96,1.89495882902244
0.18,0.98,1.98073912734069
0.2,0,2.17178590709485
0.2,0.02,2.07395523858258
0.2,0.04,1.98017936464085
0.2,0.06,1.89044838215676
0.2,0.08,1.80475242446822
0.2,0.1,1.72308166120153
0.2,0.12,1.64542629812113
0.2,0.14,1.57177657696657
0.2,0.16,1.50212277529996
0.2,0.18,1.43645520635145
0.2,0.2,1.37476421886299
0.2,0.22,1.31704019693804
0.2,0.24,1.26327355988594
0.2,0.26,1.2134547620701
0.2,0.28,1.16757429276181
0.2,0.3,1.1256226759829
0.2,0.32,1.08759047036417
0.2,0.34,1.05346826898642
0.2,0.36,1.02324669924306
0.2,0.38,0.996916422683435
0.2,0.4,0.974468134876588
0.2,0.42,0.95589256525327
0.2,0.44,0.941180476972112
0.2,0.46,0.930322666767082
0.2,0.48,0.923309964809737
0.2,0.5,0.920133234561281
0.2,0.52,0.920783372632159
0.2,0.54,0.925251308643153
0.2,0.56,0.93352800508101
0.2,0.58,0.945604457161035
0.2,0.6,0.961471692683478
0.2,0.62,0.981120771900383
0.2,0.64,1.00454278737332
0.2,0.66,1.03172886383826
0.2,0.68,1.06267015806586
0.2,0.7,1.09735785873024
0.2,0.72,1.13578318627023
0.2,0.74,1.1779373927544
0.2,0.76,1.22381176175141
0.2,0.78,1.27339760818691
0.2,0.8,1.32668627822422
0.2,0.82,1.38366914912119
0.2,0.84,1.44433762910478
0.2,0.86,1.50868315723672
0.2,0.88,1.57669720328841
0.2,0.9,1.64837126760454
0.2,0.92,1.72369688098117
0.2,0.94,1.80266560453023
0.2,0.96,1.88526902956152
0.2,0.98,1.9714987774448
0.22,0,2.15197388146817
0.22,0.02,2.05406299331693
0.22,0.04,1.96021700237986
0.22,0.06,1.87042604179671
0.22,0.08,1.78468028087199
0.22,0.1,1.70296992492015
0.22,0.12,1.62528521511032
0.22,0.14,1.551616428314
0.22,0.16,1.48195387694467
0.22,0.18,1.41628790881366
0.22,0.2,1.35460890697001
0.22,0.22,1.29690728955557
0.22,0.24,1.2431735096491
0.22,0.26,1.19339805511889
0.22,0.28,1.14757144847315
0.22,0.3,1.10568424671247
0.22,0.32,1.06772704118204
0.22,0.34,1.0336904574194
0.22,0.36,1.00356515501749
0.22,0.38,0.977341827471088
0.22,0.4,0.955011202038336
0.22,0.42,0.936564039589839
0.22,0.44,0.921991134469856
0.22,0.46,0.911283314354964
0.22,0.48,0.9044314401089
0.22,0.5,0.901426405640534
0.22,0.52,0.902259137765001
0.22,0.54,0.906920596067049
0.22,0.56,0.915401772755522
0.22,0.58,0.927693692531297
0.22,0.6,0.943787412441187
0.22,0.62,0.963674021751418
0.22,0.64,0.987344641802422
0.22,0.66,1.01479042587724
0.22,0.68,1.0460025590641
0.22,0.7,1.08097225812613
0.22,0.72,1.11969077136251
0.22,0.74,1.16214937847812
0.22,0.76,1.20833939045244
0.22,0.78,1.25825214940177
0.22,0.8,1.3118790284577
0.22,0.82,1.36921143162565
0.22,0.84,1.43024079366484
0.22,0.86,1.49495857995111
0.22,0.88,1.5633562863553
0.22,0.9,1.63542543910732
0.22,0.92,1.71115759467816
0.22,0.94,1.79054433964409
0.22,0.96,1.87357729056749
0.22,0.98,1.96024809386607
0.24,0,2.130580444995
0.24,0.02,2.03257974661025
0.24,0.04,1.9386540745635
0.24,0.06,1.84879359817242
0.24,0.08,1.76298852263591
0.24,0.1,1.68122908888302
0.24,0.12,1.60350557341699
0.24,0.14,1.52980828816615
0.24,0.16,1.46012758032554
0.24,0.18,1.39445383221676
0.24,0.2,1.33277746112496
0.24,0.22,1.27508891915847
0.24,0.24,1.22137869309728
0.24,0.26,1.17163730424106
0.24,0.28,1.12585530827009
0.24,0.3,1.08402329508987
0.24,0.32,1.04613188869309
0.24,0.34,1.01217174700568
0.24,0.36,0.982133561750659
0.24,0.38,0.956008058299155
0.24,0.4,0.933785995531239
0.24,0.42,0.915458165688395
0.24,0.44,0.901015394237044
0.24,0.46,0.890448539724679
0.24,0.48,0.883748493642131
0.24,0.5,0.880906180279188
0.24,0.52,0.881912556590621
0.24,0.54,0.88675861205664
0.24,0.56,0.89543536854404
0.24,0.58,0.907933880171242
0.24,0.6,0.92424523316886
0.24,0.62,0.944360545749177
0.24,0.64,0.968270967968311
0.24,0.66,0.995967681591397
0.24,0.68,1.02744189995919
0.24,0.7,1.06268486785832
0.24,0.72,1.10168786138553
0.24,0.74,1.14444218781781
0.24,0.76,1.19093918548113
0.24,0.78,1.24117022361918
0.24,0.8,1.2951267022656
0.24,0.82,1.35280005211446
0.24,0.84,1.41418173439051
0.24,0.86,1.47926324072234
0.24,0.88,1.54803609301667
0.24,0.9,1.62049184332759
0.24,0.92,1.6966220737367
0.24,0.94,1.77641839622186
0.24,0.96,1.85987245253744
0.24,0.98,1.94697591408532
0.26,0,2.10759456992713
0.26,0.02,2.00949447153624
0.26,0.04,1.91547955498084
0.26,0.06,1.82554002568461
0.26,0.08,1.73966612466756
0.26,0.1,1.65784812840081
0.26,0.12,1.5800763486522
0.26,0.14,1.50634113233644
0.26,0.16,1.43663286135992
0.26,0.18,1.37094195248034
0.26,0.2,1.30925885715208
0.26,0.22,1.25157406138205
0.26,0.24,1.19787808557739
0.26,0.26,1.1481614844045
0.26,0.28,1.10241484664354
0.26,0.3,1.06062879503959
0.26,0.32,1.02279398616342
0.26,0.34,0.988901110260569
0.26,0.36,0.958940891117547
0.26,0.38,0.932904085914891
0.26,0.4,0.910781485087701
0.26,0.42,0.892563912181001
0.26,0.44,0.878242223716111
0.26,0.46,0.867807309047335
0.26,0.48,0.861250090224389
0.26,0.5,0.85856152185444
0.26,0.52,0.859732590963239
0.26,0.54,0.864754316863408
0.26,0.56,0.873617751013278
0.26,0.58,0.886313976886638
0.26,0.6,0.902834109830053
0.26,0.62,0.923169296939852
0.26,0.64,0.947310716922569
0.26,0.66,0.975249579961042
0.26,0.68,1.00697712758471
0.26,0.7,1.04248463254101
0.26,0.72,1.08176339866076
0.26,0.74,1.12480476072805
0.26,0.76,1.17160008435545
0.26,0.78,1.22214076584751
0.26,0.8,1.27641823208172
0.26,0.82,1.33442394037329
0.26,0.84,1.39614937835377
0.26,0.86,1.46158606384001
0.26,0.88,1.53072554471382
0.26,0.9,1.60355939879032
0.26,0.92,1.68007923370084
0.26,0.94,1.76027668676355
0.26,0.96,1.84414342486357
0.26,0.98,1.931671144325
0.28,0,2.08300530563642
0.28,0.02,1.98479621810426
0.28,0.04,1.89068249417244
0.28,0.06,1.80065437529674
0.28,0.08,1.71470213825305
0.28,0.1,1.63281609498188
0.28,0.12,1.55498659244499
0.28,0.14,1.48120401247138
0.28,0.16,1.41145877161234
0.28,0.18,1.34574132099332
0.28,0.2,1.28404214616684
0.28,0.22,1.22635176696716
0.28,0.24,1.17266073736644
0.28,0.26,1.1229596453263
0.28,0.28,1.07723911265951
0.28,0.3,1.03548979488331
0.28,0.32,0.997702381078551
0.28,0.34,0.963867593744451
0.28,0.36,0.93397618866613
0.28,0.38,0.908018954763712
0.28,0.4,0.885986713963442
0.28,0.42,0.867870321047753
0.28,0.44,0.853660663528028
0.28,0.46,0.843348661497524
0.28,0.48,0.836925267503718
0.28,0.5,0.834381466401903
0.28,0.52,0.835708275227706
0.28,0.54,0.84089674306002
0.28,0.56,0.849937950885875
0.28,0.58,0.862823011467778
0.28,0.6,0.879543069207689
0.28,0.62,0.900089300020995
0.28,0.64,0.924452911200521
0.28,0.66,0.952625141284928
0.28,0.68,0.984597259930288
0.28,0.7,1.02036056777899
0.28,0.72,1.05990639633556
0.28,0.74,1.10322610782924
0.28,0.76,1.1503110950947
0.28,0.78,1.20115278143713
0.28,0.8,1.25574262051551
0.28,0.82,1.31407209620449
0.28,0.84,1.37613272248071
0.28,0.86,1.4419160432881
0.28,0.88,1.51141363242172
0.28,0.9,1.58461709339797
0.28,0.92,1.66151805933738
0.28,0.94,1.74210819283408
0.28,0.96,1.82637918584533
0.28,0.98,1.91432275955708
0.3,0,2.05680177864357
0.3,0.02,1.95847411328311
0.3,0.04,1.86425201944905
0.3,0.06,1.77412577456483
0.3,0.08,1.68808569108585
0.3,0.1,1.60612211635598
0.3,0.12,1.52822543246001
0.3,0.14,1.45438605607507
0.3,0.16,1.38459443832534
0.3,0.18,1.31884106463756
0.3,0.2,1.25711645459455
0.3,0.22,1.19941116179255
0.3,0.24,1.14571577369704
0.3,0.26,1.09602091150055
0.3,0.28,1.05031722998084
0.3,0.3,1.00859541736185
0.3,0.32,0.970846195168314
0.3,0.34,0.937060318087708
0.3,0.36,0.907228573834604
0.3,0.38,0.881341783008248
0.3,0.4,0.859390798957847
0.3,0.42,0.841366507640512
0.3,0.44,0.827259827488754
0.3,0.46,0.817061709276585
0.3,0.48,0.810763135978834
0.3,0.5,0.808355122640371
0.3,0.52,0.80982871624078
0.3,0.54,0.815174995561761
0.3,0.56,0.824385071055268
0.3,0.58,0.83745008470955
0.3,0.6,0.854361209920805
0.3,0.62,0.87510965135913
0.3,0.64,0.899686644840607
0.3,0.66,0.928083457199306
0.3,0.68,0.960291386153186
0.3,0.7,0.996301760182543
0.3,0.72,1.03610593839901
0.3,0.74,1.07969531041625
0.3,0.76,1.12706129623194
0.3,0.78,1.1781953460897
0.3,0.8,1.23308894036725
0.3,0.82,1.29173358943993
0.3,0.84,1.35412083356707
0.3,0.86,1.42024224276063
0.3,0.88,1.49008941666774
0.3,0.9,1.56365398444566
0.3,0.92,1.64092760464224
0.3,0.94,1.72190196507148
0.3,0.96,1.80656878269986
0.3,0.98,1.89491980351704
0.32,0,2.02897319264726
0.32,0.02,1.93051736103338
0.32,0.04,1.83617733493346
0.32,0.06,1.74594342766469
0.32,0.08,1.65980598729628
0.32,0.1,1.57775539650488
0.32,0.12,1.49978207243285
0.32,0.14,1.42587646653634
0.32,0.16,1.35602906444412
0.32,0.18,1.29023038581928
0.32,0.2,1.22847098420588
0.32,0.22,1.17074144689558
0.32,0.24,1.11703239478359
0.32,0.26,1.06733448222473
0.32,0.28,1.02163839689785
0.32,0.3,0.979934859665875
0.32,0.32,0.942214624434097
0.32,0.34,0.908468478012428
0.32,0.36,0.878687239982084
0.32,0.38,0.852861762554797
0.32,0.4,0.830982930439455
0.32,0.42,0.813041660702627
0.32,0.44,0.799028902639201
0.32,0.46,0.788935637633736
0.32,0.48,0.782752879030663
0.32,0.5,0.780471671998217
0.32,0.52,0.782083093397244
0.32,0.54,0.787578251650468
0.32,0.56,0.796948286612498
0.32,0.58,0.810184369437756
0.32,0.6,0.827277702448514
0.32,0.62,0.848219519012206
0.32,0.64,0.873001083407588
0.32,0.66,0.901613690699081
0.32,0.68,0.934048666608397
0.32,0.7,0.970297367389565
0.32,0.72,1.0103511797027
0.32,0.74,1.05420152048746
0.32,0.76,1.10183983683806
0.32,0.78,1.15325760588029
0.32,0.8,1.20844633464886
0.32,0.82,1.26739755996126
0.32,0.84,1.330102848298
0.32,0.86,1.39655379567988
0.32,0.88,1.46674202754729
0.32,0.9,1.54065919863661
0.32,0.92,1.61829699286484
0.32,0.94,1.69964712320766
0.32,0.96,1.78470133158052
0.32,0.98,1.87345138871709
0.34,0,1.99950882855268
0.34,0.02,1.90091524233758
0.34,0.04,1.80644772157896
0.34,0.06,1.71609661542015
0.34,0.08,1.6298523074761
0.34,0.1,1.54770521569106
0.34,0.12,1.469645792194
0.34,0.14,1.39566452315604
0.34,0.16,1.32575192864583
0.34,0.18,1.25989856249189
0.34,0.2,1.19809501213723
0.34,0.22,1.14033189850385
0.34,0.24,1.08659987584835
0.34,0.26,1.03688963162464
0.34,0.28,0.991191886348364
0.34,0.3,0.949497393457082
0.34,0.32,0.911796939171097
0.34,0.34,0.878081342360619
0.34,0.36,0.848341454408495
0.34,0.38,0.822568159075973
0.34,0.4,0.800752372368856
0.34,0.42,0.782885042399826
0.34,0.44,0.768957149261524
0.34,0.46,0.758959704890707
0.34,0.48,0.752883752936771
0.34,0.5,0.750720368627982
0.34,0.52,0.752460658645825
0.34,0.54,0.758095760993821
0.34,0.56,0.767616844866349
0.34,0.58,0.781015110520568
0.34,0.6,0.798281789148177
0.34,0.62,0.819408142749472
0.34,0.64,0.844385464006891
