x;y;label
0.01;-4.65629334;c
0.02;-3.72120994;c
0.03;-3.24959278;c
0.04;-5.59208809;c
0.05;-5.72701465;c
0.06;-7.30145565;c
0.07;-7.30262899;c
0.08;-8.5435998;c
0.09;-11.32795103;c
0.1;-10.68050981;c
0.11;-9.026468;c
0.12;-7.8412918;c
0.13;-6.13893237;c
0.14;-5.94177404;c
0.15;-4.5834824;c
0.16;-4.49600787;c
0.17;-4.48893659;c
0.18;-3.6839319;c
0.19;-2.74552632;c
0.2;-2.6723732;c
0.21;-1.56706155;c
0.22;-1.20288198;c
0.23;-0.59926388;c
0.24;1.27050296;c
0.25;-0.71907514;c
0.26;-3.04052804;c
0.27;-1.67312659;c
0.28;-1.92589591;c
0.29;-3.52051209;c
0.3;-2.82068262;c
0.31;-4.3893015;c
0.32;-4.4793439;c
0.33;-4.72661383;c
0.34;-5.56957914;c
0.35;-7.48989094;c
0.36;-7.50443532;c
0.37;-6.63632384;c
0.38;-6.57483553;c
0.39;-7.80015129;c
0.4;-7.03837895;c
0.41;-6.62255793;c
0.42;-4.98081004;c
0.43;-7.43192446;c
0.44;-5.22057433;c
0.45;-4.98198311;c
0.46;-4.43237453;c
0.47;-2.80729848;c
0.48;-1.88355678;c
0.49;0.31299223;c
0.5;-0.97019853;c
0.51;-1.564798;c
0.52;-1.70265871;c
0.53;-1.83427143;c
0.54;-1.45976521;c
