x;y;label
0.8;0.488439978;b
0.801;0.490263297;b
0.802;0.492122681;b
0.803;0.494020441;b
0.804;0.495959224;b
0.805;0.497941955;b
0.806;0.499971934;b
0.807;0.5020529;b
0.808;0.504189103;b
0.809;0.506385428;b
0.81;0.508647515;b
0.811;0.510981957;b
0.812;0.513396518;b
0.813;0.515900462;b
0.814;0.518504994;b
0.815;0.521223864;b
0.816;0.524074282;b
0.817;0.527078261;b
0.818;0.530264732;b
0.819;0.533673051;b
0.82;0.537359142;b
0.821;0.541407321;b
0.822;0.545955796;b
0.823;0.551262454;b
0.824;0.557934569;b
0.8245;0.562324097;b
0.825;0.568688534;b
0.82515;0.571890464;b
0.8252475;0.577166362;b
